gridID,poly
1,"POLYGON ((-180 90, -175 90, -175 85, -180 85, -180 90))"
2,"POLYGON ((-180 85, -175 85, -175 80, -180 80, -180 85))"
3,"POLYGON ((-180 80, -175 80, -175 75, -180 75, -180 80))"
4,"POLYGON ((-180 75, -175 75, -175 70, -180 70, -180 75))"
5,"POLYGON ((-180 70, -175 70, -175 65, -180 65, -180 70))"
6,"POLYGON ((-180 65, -175 65, -175 60, -180 60, -180 65))"
7,"POLYGON ((-180 60, -175 60, -175 55, -180 55, -180 60))"
8,"POLYGON ((-180 55, -175 55, -175 50, -180 50, -180 55))"
9,"POLYGON ((-180 50, -175 50, -175 45, -180 45, -180 50))"
10,"POLYGON ((-180 45, -175 45, -175 40, -180 40, -180 45))"
11,"POLYGON ((-180 40, -175 40, -175 35, -180 35, -180 40))"
12,"POLYGON ((-180 35, -175 35, -175 30, -180 30, -180 35))"
13,"POLYGON ((-180 30, -175 30, -175 25, -180 25, -180 30))"
14,"POLYGON ((-180 25, -175 25, -175 20, -180 20, -180 25))"
15,"POLYGON ((-180 20, -175 20, -175 15, -180 15, -180 20))"
16,"POLYGON ((-180 15, -175 15, -175 10, -180 10, -180 15))"
17,"POLYGON ((-180 10, -175 10, -175 5, -180 5, -180 10))"
18,"POLYGON ((-180 5, -175 5, -175 0, -180 0, -180 5))"
19,"POLYGON ((-180 0, -175 0, -175 -5, -180 -5, -180 0))"
20,"POLYGON ((-180 -5, -175 -5, -175 -10, -180 -10, -180 -5))"
21,"POLYGON ((-180 -10, -175 -10, -175 -15, -180 -15, -180 -10))"
22,"POLYGON ((-180 -15, -175 -15, -175 -20, -180 -20, -180 -15))"
23,"POLYGON ((-180 -20, -175 -20, -175 -25, -180 -25, -180 -20))"
24,"POLYGON ((-180 -25, -175 -25, -175 -30, -180 -30, -180 -25))"
25,"POLYGON ((-180 -30, -175 -30, -175 -35, -180 -35, -180 -30))"
26,"POLYGON ((-180 -35, -175 -35, -175 -40, -180 -40, -180 -35))"
27,"POLYGON ((-180 -40, -175 -40, -175 -45, -180 -45, -180 -40))"
28,"POLYGON ((-180 -45, -175 -45, -175 -50, -180 -50, -180 -45))"
29,"POLYGON ((-180 -50, -175 -50, -175 -55, -180 -55, -180 -50))"
30,"POLYGON ((-180 -55, -175 -55, -175 -60, -180 -60, -180 -55))"
31,"POLYGON ((-180 -60, -175 -60, -175 -65, -180 -65, -180 -60))"
32,"POLYGON ((-180 -65, -175 -65, -175 -70, -180 -70, -180 -65))"
33,"POLYGON ((-180 -70, -175 -70, -175 -75, -180 -75, -180 -70))"
34,"POLYGON ((-180 -75, -175 -75, -175 -80, -180 -80, -180 -75))"
35,"POLYGON ((-180 -80, -175 -80, -175 -85, -180 -85, -180 -80))"
36,"POLYGON ((-180 -85, -175 -85, -175 -90, -180 -90, -180 -85))"
37,"POLYGON ((-175 90, -170 90, -170 85, -175 85, -175 90))"
38,"POLYGON ((-175 85, -170 85, -170 80, -175 80, -175 85))"
39,"POLYGON ((-175 80, -170 80, -170 75, -175 75, -175 80))"
40,"POLYGON ((-175 75, -170 75, -170 70, -175 70, -175 75))"
41,"POLYGON ((-175 70, -170 70, -170 65, -175 65, -175 70))"
42,"POLYGON ((-175 65, -170 65, -170 60, -175 60, -175 65))"
43,"POLYGON ((-175 60, -170 60, -170 55, -175 55, -175 60))"
44,"POLYGON ((-175 55, -170 55, -170 50, -175 50, -175 55))"
45,"POLYGON ((-175 50, -170 50, -170 45, -175 45, -175 50))"
46,"POLYGON ((-175 45, -170 45, -170 40, -175 40, -175 45))"
47,"POLYGON ((-175 40, -170 40, -170 35, -175 35, -175 40))"
48,"POLYGON ((-175 35, -170 35, -170 30, -175 30, -175 35))"
49,"POLYGON ((-175 30, -170 30, -170 25, -175 25, -175 30))"
50,"POLYGON ((-175 25, -170 25, -170 20, -175 20, -175 25))"
51,"POLYGON ((-175 20, -170 20, -170 15, -175 15, -175 20))"
52,"POLYGON ((-175 15, -170 15, -170 10, -175 10, -175 15))"
53,"POLYGON ((-175 10, -170 10, -170 5, -175 5, -175 10))"
54,"POLYGON ((-175 5, -170 5, -170 0, -175 0, -175 5))"
