"ID","LAT","LON","STNELEV","NAME","GRELEV","POPCLS","POPSIZ","TOPO","STVEG","STLOC","OCNDIS","AIRSTN","TOWNDIS","GRVEG","POPCSS"
10160355000,36.93,6.95,7,"SKIKDA                        ",18,"U",107,"HI","xx","CO",1,"x",-9,"WARM DECIDUOUS  ","C"
10160360000,36.83,7.82,4,"ANNABA                        ",33,"U",256,"FL","xx","CO",1,"A",7,"WARM CROPS      ","C"
10160390000,36.72,3.25,25,"DAR-EL-BEIDA                  ",34,"U",1365,"FL","xx","CO",10,"A",6,"WARM CROPS      ","C"
10160395001,36.52,4.18,942,"FT. NATIONAL                  ",805,"R",-9,"MV","DE","no",-9,"x",-9,"WARM CROPS      ","A"
10160400001,36.8,5.1,230,"CAP CARBON                    ",28,"R",-9,"HI","xx","CO",1,"x",-9,"WATER           ","A"
10160402000,36.72,5.07,2,"BEJAIA                        ",121,"U",90,"HI","xx","CO",1,"A",3,"WATER           ","B"
10160403000,36.47,7.47,227,"GUELMA                        ",287,"S",47,"HI","xx","no",-9,"x",-9,"WARM CROPS      ","C"
10160419000,36.28,6.62,694,"CONSTANTINE                   ",563,"U",335,"MV","xx","no",-9,"A",7,"WARM FOR./FIELD ","B"
10160425000,36.22,1.33,143,"CHLEF                         ",242,"U",106,"HI","xx","no",-9,"A",3,"WARM CROPS      ","C"
10160425001,36.17,1.5,112,"ORLEANSVILLE                  ",219,"R",-9,"HI","DE","no",-9,"x",-9,"WARM CROPS      ","A"
10160430000,36.3,2.23,715,"MILIANA                       ",1167,"R",-9,"MV","DE","no",-9,"x",-9,"WARM DECIDUOUS  ","C"
10160444000,36.07,4.77,928,"BORDJ BOU ARR                 ",1051,"U",57,"MV","xx","no",-9,"x",-9,"WARM FOR./FIELD ","C"
10160445000,36.18,5.42,1081,"SETIF                         ",1060,"U",144,"MV","xx","no",-9,"x",-9,"WARM FOR./FIELD ","C"
10160457000,35.88,0.12,137,"MOSTAGANEM VI                 ",157,"U",102,"HI","xx","CO",4,"A",2,"WARM CROPS      ","B"
10160461000,35.7,-0.65,60,"ORAN                          ",78,"U",492,"HI","xx","CO",3,"x",-9,"WARM CROPS      ","C"
10160468000,35.55,6.18,1052,"BATNA                         ",1015,"U",85,"MV","xx","no",-9,"x",-9,"WARM DECIDUOUS  ","C"
10160475000,35.48,8.13,813,"TEBESSA                       ",818,"U",67,"MV","xx","no",-9,"A",2,"WARM FOR./FIELD ","B"
10160490000,35.6,-0.6,90,"ORAN/ES SENIA       ALGERIA   ",98,"U",492,"HI","xx","CO",10,"A",6,"WARM CROPS      ","B"
10160518000,35.3,-1.35,68,"BENI-SAF                      ",103,"R",-9,"HI","DE","CO",1,"x",-9,"WARM CROPS      ","B"
