year,anom
1901,-0.0693946150067087
1902,-0.334610873913947
1903,-0.461743751344092
1904,-0.352542975637412
1905,-0.391170127403012
1906,-0.224258223019193
1907,-0.541598114525401
1908,-0.459561714992202
1909,-0.526518637391906
1910,-0.248976368081022
1911,-0.486529131341794
1912,-0.47718802678745
1913,-0.421623055985433
1914,-0.0509908677881438
1915,-0.0908363902573474
1916,-0.491200757899608
1917,-0.653551439767483
1918,-0.33042058941051
1919,-0.385609290819638
1920,-0.31778286791517
1921,-0.0527422200080353
1922,-0.352885503412861
1923,-0.239816983599201
1924,-0.307065029146697
1925,-0.107186047481591
1926,0.124468353873146
1927,-0.196760780684494
1928,-0.119496386415378
1929,-0.476727896689296
1930,-0.130524011599529
1931,-0.132441978630384
1932,-0.265287931407751
1933,-0.319510430925805
1934,0.27779247414908
1935,-0.210826027392304
1936,-0.084133959535058
1937,-0.0297713095242954
1938,0.134485091409191
1939,0.075137033956203
1940,0.135597888470816
1941,0.015780857392078
1942,-0.0676287629634935
1943,0.0280761279382473
1944,-0.0600278068739789
1945,-0.166389640061926
1946,-0.0484865284913788
1947,0.00763119336200705
1948,-0.145281941336695
1949,-0.20665306903324
1950,-0.244527146449738
1951,-0.210530309559237
1952,-0.13065647684526
1953,0.116926419600303
1954,-0.176405245896161
1955,-0.293174222989336
1956,-0.507025151238088
1957,-0.130410068117007
1958,0.162498465838741
1959,-0.0135822708301205
1960,-0.026994209201864
1961,0.0672566276631325
1962,0.00518943263642114
1963,0.0281300638954091
1964,-0.412234346987677
1965,-0.253936369700171
1966,-0.0290089274990657
1967,-0.138488739515071
1968,-0.213489920520705
1969,-0.181773204889339
1970,-0.103344301818043
1971,-0.256811709459824
1972,-0.246602823668453
1973,-0.00550792492415204
1974,-0.236913710324089
1975,-0.171819866119239
1976,-0.342847964917829
1977,0.0918945047657649
1978,-0.032371960961539
1979,0.0823446781499614
1980,0.0501086662047138
1981,0.295664934415586
1982,-0.0971179510272868
1983,0.214964363829497
1984,-0.189161597102342
1985,-0.166629646570124
1986,0.129190795083371
1987,0.248274793822025
1988,0.284407181595889
1989,0.293180935956491
1990,0.484038497474769
1991,0.245024171436502
1992,0.106060762999279
1993,-0.0526053052985911
1994,0.405283085018422
1995,0.4338987541087
1996,0.103645148576905
1997,0.420055309993499
1998,0.754040068744267
1999,0.605993400035299
2000,0.540962946750296
2001,0.598920224061761
2002,0.674374324781928
2003,0.744925020228122
2004,0.657308499584777
2005,0.632847733481766
2006,0.718932157963248
2007,0.819943206033025
2008,0.519037049599414
2009,0.618912749651059
2010,0.731705364937932
2011,0.526242505675591
2012,0.779584075698656
2013,0.663364884771721
2014,0.966062482069912
2015,1.21099735871022
2016,1.27959847599753
