year,mean
1901,12.7500160292243
1902,12.7852433277785
1903,13.1353326548957
1904,13.0418180957245
1905,13.1367757667398
1906,12.9292241703621
1907,13.116198461185
1908,12.8875560873749
1909,12.3855157300547
1910,13.0457371308022
1911,12.8739134448938
1912,12.8311049468411
1913,12.8315147036537
1914,13.018014771843
1915,12.8837100960488
1916,12.499347108397
1917,12.2762884463988
1918,12.3603987055196
1919,12.5364023733228
1920,12.7324069040354
1921,12.8989873611438
1922,12.6612739313199
1923,12.6426245359104
1924,12.7736411746866
1925,12.9786313740525
1926,13.4404613090941
1927,12.6214126726297
1928,12.8863260769384
1929,12.478769822142
1930,12.8715355032966
1931,12.8189657908651
1932,12.7365735778742
1933,12.5011736545795
1934,13.1780057978642
1935,12.5949411999051
1936,12.5416377743767
1937,12.5128632797724
1938,12.4803621232849
1939,12.5916012004917
1940,12.6134396948499
1941,12.2091772410375
1942,12.2210657632219
1943,12.2813965104384
1944,12.0033829081638
1945,11.9589402663149
1946,11.9881123681957
1947,12.058789076811
1948,12.233990905846
1949,12.2075695547502
1950,12.0392121311307
1951,12.267367040844
1952,12.6427500984374
1953,13.1051402194689
1954,12.8682762871752
1955,12.7632274262976
1956,12.897731319339
1957,12.9724048636325
1958,13.1547278130398
1959,13.1885396864776
1960,12.9960513596023
1961,13.0964745209968
1962,13.3086801948408
1963,13.4796660092096
1964,13.0566245663154
1965,13.0902291102893
1966,13.3600034747874
1967,13.2802709780208
1968,13.2051965426765
1969,13.2788386735336
1970,13.1954528053857
1971,13.0585911853132
1972,13.2487636650215
1973,13.3763415908784
1974,13.3703416164121
1975,13.2499477834632
1976,12.7657900933487
1977,13.3854403554526
1978,13.2368532386182
1979,13.3660930344477
1980,13.2264471266542
1981,13.2030528941715
1982,12.5925903225384
1983,12.6221806601501
1984,12.3886148271285
1985,12.3837580370079
1986,12.6222013436855
1987,12.6194694040769
1988,12.4784156326526
1989,12.5365678979588
1990,13.4012990351275
1991,13.3323514662394
1992,13.9707450009619
1993,13.6569604465105
1994,14.0718675524562
1995,13.9679877062486
1996,13.6698874789493
1997,14.0632788882224
1998,14.4170894566633
1999,14.154702748024
2000,13.8044252184716
2001,12.9729745468117
2002,13.2840709232209
2003,13.1642560979059
2004,12.9418715117233
2005,12.9819996092376
2006,13.0699257804216
2007,13.3150784506114
2008,13.5804556827006
2009,13.1580886100728
2010,13.0183948145605
2011,12.3883759095962
2012,13.2790071971566
2013,13.7237362637075
2014,13.7196611914535
2015,14.1346551555226
2016,13.5160965517759
