year,anom
1901,-0.281696487130622
1902,-0.673026606960241
1903,-0.533517245642885
1904,-0.638144362104507
1905,-0.482605922586656
1906,-0.30963106123592
1907,-0.795163323205494
1908,-0.638596717560765
1909,-0.582012091441046
1910,-0.424271518681239
1911,-0.516947359774059
1912,-0.627431826832655
1913,-0.407100451696685
1914,-0.195156110282981
1915,-0.223208521425062
1916,-0.484239780739099
1917,-0.827860924612381
1918,-0.538631431116587
1919,-0.457888660169393
1920,-0.31517784155249
1921,-0.0831232480920197
1922,-0.339271768656064
1923,-0.27435016329995
1924,-0.364108899305349
1925,-0.181367229404902
1926,-0.087880222783122
1927,-0.290992168247977
1928,-0.166144464892206
1929,-0.538090327212582
1930,-0.0894427941659071
1931,-0.102825907841102
1932,-0.100184661243528
1933,-0.424969177559321
1934,0.037749463009293
1935,-0.183356816254257
1936,-0.137343145715951
1937,-0.0169926089502003
1938,0.205062027072384
1939,0.0324480792719893
1940,-0.0701098203654787
1941,-0.147113123834896
1942,-0.132076231513185
1943,0.0619179799737764
1944,0.114429373175872
1945,-0.188452988419236
1946,-0.115003056604032
1947,-0.0477600668694985
1948,0.0143761788217799
1949,-0.0954146212447232
1950,-0.322381973378577
1951,-0.164208591556399
1952,-0.121115656244354
1953,0.147556791245303
1954,-0.183550623771568
1955,-0.225577161867505
1956,-0.517991054347438
1957,-0.0650616099523859
1958,0.0131365106496163
1959,0.0268783937057893
1960,-0.0683896106852338
1961,0.0433978629434006
1962,0.0769430365875272
1963,0.0289530159588827
1964,-0.349498363432104
1965,-0.26406600030032
1966,-0.191347589441674
1967,-0.0648228852278698
1968,-0.184528821665063
1969,-0.194971802540843
1970,-0.0827152051764551
1971,-0.158677998781732
1972,-0.304232724571503
1973,0.168849887863376
1974,-0.245548802185999
1975,0.032048292375982
1976,-0.322169500961052
1977,0.156931311021884
1978,-0.031565548937409
1979,0.0199785906081452
1980,0.145804699516843
1981,0.474917817607644
1982,-0.0273235227324267
1983,0.344769704365232
1984,-0.0379061604971954
1985,-0.0821204380592798
1986,0.124729729219491
1987,0.184986563738521
1988,0.43632806921205
1989,0.370437819401444
1990,0.54225538838836
1991,0.450785770279709
1992,0.134990868026641
1993,0.178652069829171
1994,0.393531097919235
1995,0.594439471517754
1996,0.204199646286361
1997,0.532113137347325
1998,0.928883813966043
1999,0.704988094554763
2000,0.630478678907805
2001,0.710193838695055
2002,0.845248845149162
2003,0.806532246974248
2004,0.725647892022588
2005,0.933690440489836
2006,0.853603038018645
2007,1.01584337924221
2008,0.774028999170413
2009,0.734762748264585
2010,0.927913911693036
2011,0.823744365911017
2012,0.779504129791711
2013,0.880692347597825
2014,0.942376528390737
2015,1.29640331913206
2016,1.41133124442353
