year,mean
1901,11.8152192660279
1902,11.7364201578236
1903,11.7848713565633
1904,11.785116109248
1905,12.3446003332568
1906,12.5249222051198
1907,12.4357424488385
1908,12.4518864569446
1909,12.2311378535042
1910,12.4266204412355
1911,12.4046587429388
1912,12.286645503113
1913,12.692993715438
1914,12.2435704312428
1915,12.5056754520513
1916,11.8750276808991
1917,11.5146303110207
1918,11.9300921232269
1919,12.1595508813978
1920,12.3951198419453
1921,12.7989691517815
1922,12.6318380849077
1923,12.6595797339806
1924,12.6903269246336
1925,12.2723519862054
1926,12.8353487314926
1927,12.1092049362514
1928,12.4836779995947
1929,12.1771791184823
1930,12.4723403416357
1931,12.495695582901
1932,12.6461219795337
1933,12.0652268857008
1934,12.5822664174298
1935,12.1327869305853
1936,11.8802845123832
1937,11.8818447263707
1938,12.0177359596808
1939,11.5538917806345
1940,11.2329266849185
1941,11.7273964376604
1942,11.8057945840751
1943,11.8689381561081
1944,11.901891497884
1945,11.3480623079344
1946,11.3645093300428
1947,11.5924543070275
1948,11.6939413043438
1949,11.3488130217027
1950,11.3881257092764
1951,11.87829179825
1952,12.1620857154428
1953,12.7151636777527
1954,12.2670460965496
1955,12.2311382994349
1956,11.9809030305001
1957,12.3099176274229
1958,12.1787441333477
1959,12.0039410838098
1960,11.8453133973369
1961,11.7581850778643
1962,12.031380947768
1963,12.1114320223279
1964,11.743468706534
1965,11.5490643515569
1966,11.6725469209145
1967,11.9162086724351
1968,11.7800127264493
1969,11.681403586571
1970,11.7577417717991
1971,11.5749254284611
1972,11.3208095450198
1973,11.7642792747419
1974,11.7397461022682
1975,12.0364113335042
1976,11.3770498624037
1977,11.8811107302968
1978,11.7562587881895
1979,11.7194003215082
1980,12.0326330490468
1981,11.7496490067441
1982,11.2948048083519
1983,11.5840785095856
1984,11.3908851106985
1985,11.4839378698447
1986,11.4741749838175
1987,11.5115120205181
1988,11.7228867806978
1989,11.5295028269583
1990,13.5432239850348
1991,12.923357384103
1992,13.5079036162195
1993,13.0329260638697
1994,13.7249819235549
1995,13.9310163647778
1996,13.2631619845956
1997,13.5414470319324
1998,13.853561326374
1999,13.2627450054714
2000,12.7227624797304
2001,11.7280841554355
2002,12.2912011007024
2003,11.9306406062689
2004,12.6773593832975
2005,12.6865752480946
2006,12.2020013422179
2007,12.965493123354
2008,12.9927634480658
2009,12.3208374706025
2010,11.8164656038755
2011,11.4223879233426
2012,12.7593626795498
2013,13.180070178252
2014,12.543574387144
2015,12.279262481946
2016,12.6158446119388
